1	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2	0	0	0	0	0	-0.069	0.530	-1.377	-0.069	0.165	-1.167	-0.069	0.165	-1.167	-0.069	0.530	-1.377	
3	0	0	0	0	0	-0.066	0.534	-1.377	-0.066	0.170	-1.170	-0.066	0.172	-1.174	-0.066	0.536	-1.380	
4	0	0	0	0	0	-0.062	0.484	-1.358	-0.062	0.110	-1.118	-0.063	0.112	-1.126	-0.063	0.487	-1.365	
5	0	0	0	0	0	-0.059	0.443	-1.339	-0.059	0.060	-1.073	-0.059	0.064	-1.085	-0.059	0.447	-1.350	
6	0	0	0	0	0	-0.056	0.438	-1.336	-0.056	0.055	-1.067	-0.056	0.060	-1.082	-0.056	0.444	-1.350	
7	0	0	0	0	0	-0.052	0.432	-1.333	-0.052	0.048	-1.060	-0.052	0.055	-1.079	-0.052	0.439	-1.350	
8	0	0	0	0	0	-0.048	0.418	-1.325	-0.048	0.031	-1.043	-0.049	0.039	-1.065	-0.049	0.426	-1.345	
9	0	0	1	0	0	-0.045	0.400	-1.316	-0.045	0.010	-1.022	-0.045	0.018	-1.046	-0.045	0.409	-1.338	
10	0	0	1	1	0	-0.041	0.395	-1.313	-0.041	0.003	-1.015	-0.041	0.012	-1.041	-0.041	0.404	-1.336	
11	0	0	1	1	0	-0.037	0.403	-1.318	-0.037	0.013	-1.025	-0.037	0.022	-1.052	-0.037	0.413	-1.341	
12	0	0	1	1	0	-0.033	0.417	-1.325	-0.033	0.030	-1.042	-0.033	0.039	-1.068	-0.033	0.426	-1.348	
13	0	0	0	1	0	-0.029	0.433	-1.332	-0.029	0.049	-1.060	-0.029	0.058	-1.086	-0.029	0.442	-1.356	
14	0	0	0	0	0	-0.025	0.450	-1.341	-0.025	0.069	-1.080	-0.025	0.078	-1.104	-0.025	0.459	-1.362	
15	0	0	0	1	0	-0.021	0.466	-1.349	-0.021	0.089	-1.099	-0.021	0.097	-1.120	-0.021	0.475	-1.369	
16	0	0	0	1	0	-0.017	0.485	-1.358	-0.017	0.112	-1.120	-0.017	0.118	-1.138	-0.017	0.492	-1.375	
17	0	0	0	1	0	-0.013	0.506	-1.367	-0.013	0.136	-1.141	-0.013	0.141	-1.156	-0.013	0.511	-1.381	
18	0	0	0	0	0	-0.008	0.527	-1.376	-0.008	0.161	-1.164	-0.008	0.165	-1.175	-0.008	0.532	-1.386	
19	0	0	0	1	1	-0.004	0.548	-1.384	-0.004	0.186	-1.185	-0.004	0.189	-1.192	-0.004	0.551	-1.391	
20	0	1	0	1	1	-0.000	0.568	-1.391	-0.000	0.209	-1.204	-0.000	0.211	-1.208	-0.000	0.569	-1.395	
21	0	1	0	0	1	0.004	0.578	-1.395	0.004	0.222	-1.214	0.004	0.222	-1.216	0.004	0.579	-1.396	
22	0	1	0	1	1	0.008	0.579	-1.396	0.008	0.223	-1.216	0.008	0.222	-1.215	0.008	0.578	-1.395	
23	0	1	0	1	1	0.013	0.575	-1.395	0.013	0.217	-1.212	0.013	0.216	-1.210	0.013	0.573	-1.393	
24	0	1	0	0	1	0.017	0.570	-1.395	0.017	0.211	-1.208	0.017	0.210	-1.204	0.017	0.568	-1.390	
25	0	1	0	1	1	0.021	0.565	-1.394	0.021	0.205	-1.204	0.021	0.203	-1.198	0.021	0.562	-1.388	
26	0	1	0	1	1	0.025	0.561	-1.393	0.025	0.201	-1.200	0.025	0.199	-1.195	0.025	0.558	-1.387	
27	0	1	1	1	1	0.029	0.558	-1.391	0.029	0.197	-1.197	0.029	0.195	-1.192	0.029	0.555	-1.386	
28	0	1	1	1	1	0.033	0.556	-1.391	0.033	0.195	-1.195	0.033	0.193	-1.190	0.033	0.553	-1.385	
29	0	1	1	1	1	0.037	0.555	-1.390	0.037	0.194	-1.194	0.037	0.192	-1.189	0.037	0.552	-1.385	
30	0	1	1	1	1	0.041	0.555	-1.390	0.041	0.193	-1.194	0.041	0.191	-1.188	0.041	0.552	-1.384	
31	0	1	1	1	1	0.041	0.555	-1.390	0.041	0.193	-1.194	0.041	0.191	-1.188	0.041	0.552	-1.384	
32	0	1	1	1	1	0.045	0.555	-1.389	0.045	0.194	-1.194	0.045	0.192	-1.189	0.045	0.553	-1.384	
33	1	1	1	1	1	0.049	0.555	-1.388	0.049	0.194	-1.193	0.048	0.193	-1.190	0.048	0.554	-1.385	
33	1	1	1	1	1	0.049	0.555	-1.388	0.049	0.194	-1.193	0.048	0.193	-1.190	0.048	0.554	-1.385	
33	1	1	1	1	1	0.049	0.555	-1.388	0.049	0.194	-1.193	0.048	0.193	-1.190	0.048	0.554	-1.385	
33	1	1	1	1	1	0.049	0.555	-1.388	0.049	0.194	-1.193	0.048	0.193	-1.190	0.048	0.554	-1.385	
33	1	1	1	1	1	0.049	0.555	-1.388	0.049	0.194	-1.193	0.048	0.193	-1.190	0.048	0.554	-1.385	
33	1	1	1	1	1	0.049	0.555	-1.388	0.049	0.194	-1.193	0.048	0.193	-1.190	0.048	0.554	-1.385	
33	1	1	1	1	1	0.049	0.555	-1.388	0.049	0.194	-1.193	0.048	0.193	-1.190	0.048	0.554	-1.385	
33	1	1	1	1	1	0.049	0.555	-1.388	0.049	0.194	-1.193	0.048	0.193	-1.190	0.048	0.554	-1.385	
33	1	1	1	1	1	0.049	0.555	-1.388	0.049	0.194	-1.193	0.048	0.193	-1.190	0.048	0.554	-1.385	
