0.10	0.13	0.16	0.19	0.20	0.20	0.19	0.16	0.13	0.10	0.07	0.04	0.01	0.00	0.00	0.01	0.04	0.07	0.10	0.13
0.45	0.53	0.58	0.60	0.58	0.53	0.45	0.35	0.25	0.15	0.07	0.02	0.00	0.02	0.07	0.15	0.25	0.35	0.45	0.53
0.93	0.99	0.99	0.93	0.82	0.67	0.50	0.33	0.18	0.07	0.01	0.01	0.07	0.18	0.33	0.50	0.67	0.82	0.93	0.99
1.40	1.36	1.24	1.05	0.82	0.58	0.35	0.16	0.04	0.00	0.04	0.16	0.35	0.58	0.82	1.05	1.24	1.36	1.40	1.36
1.80	1.75	1.59	1.35	1.06	0.74	0.45	0.21	0.05	0.00	0.05	0.21	0.45	0.74	1.06	1.35	1.59	1.75	1.80	1.75
1.87	1.98	1.98	1.87	1.64	1.34	1.00	0.66	0.36	0.13	0.02	0.02	0.13	0.36	0.66	1.00	1.34	1.64	1.87	1.98
1.94	2.00	1.94	1.77	1.50	1.17	0.83	0.50	0.23	0.06	0.00	0.06	0.23	0.50	0.83	1.17	1.50	1.77	1.94	2.00
1.77	1.94	2.00	1.94	1.77	1.50	1.17	0.83	0.50	0.23	0.06	0.00	0.06	0.23	0.50	0.83	1.17	1.50	1.77	1.94
1.64	1.87	1.98	1.98	1.87	1.64	1.34	1.00	0.66	0.36	0.13	0.02	0.02	0.13	0.36	0.66	1.00	1.34	1.64	1.87
1.94	2.00	1.94	1.77	1.50	1.17	0.83	0.50	0.23	0.06	0.00	0.06	0.23	0.50	0.83	1.17	1.50	1.77	1.94	2.00
1.98	1.87	1.64	1.34	1.00	0.66	0.36	0.13	0.02	0.02	0.13	0.36	0.66	1.00	1.34	1.64	1.87	1.98	1.98	1.87
1.87	1.64	1.34	1.00	0.66	0.36	0.13	0.02	0.02	0.13	0.36	0.66	1.00	1.34	1.64	1.87	1.98	1.98	1.87	1.64
1.87	1.64	1.34	1.00	0.66	0.36	0.13	0.02	0.02	0.13	0.36	0.66	1.00	1.34	1.64	1.87	1.98	1.98	1.87	1.64
1.77	1.50	1.17	0.83	0.50	0.23	0.06	0.00	0.06	0.23	0.50	0.83	1.17	1.50	1.77	1.94	2.00	1.94	1.77	1.50
1.64	1.34	1.00	0.66	0.36	0.13	0.02	0.02	0.13	0.36	0.66	1.00	1.34	1.64	1.87	1.98	1.98	1.87	1.64	1.34
1.17	0.83	0.50	0.23	0.06	0.00	0.06	0.23	0.50	0.83	1.17	1.50	1.77	1.94	2.00	1.94	1.77	1.50	1.17	0.83
1.31	1.07	0.80	0.53	0.29	0.11	0.01	0.01	0.11	0.29	0.53	0.80	1.07	1.31	1.49	1.59	1.59	1.49	1.31	1.07
1.12	0.99	0.81	0.60	0.39	0.21	0.08	0.01	0.01	0.08	0.21	0.39	0.60	0.81	0.99	1.12	1.19	1.19	1.12	0.99
0.79	0.75	0.66	0.54	0.40	0.26	0.14	0.05	0.01	0.01	0.05	0.14	0.26	0.40	0.54	0.66	0.75	0.79	0.79	0.75
0.40	0.39	0.35	0.30	0.23	0.17	0.10	0.05	0.01	0.00	0.01	0.05	0.10	0.17	0.23	0.30	0.35	0.39	0.40	0.39
